Job Title,Category,Education Requirement,Experience Years,Required Skills,Salary Range,cleaned_skills
Software Engineer,Technology,Bachelor's in Computer Science|Bachelor's in Engineering,2,Python|Java|C++|Git|Software Design|Problem Solving,80-150K,python java c git software design problem solving
Full Stack Developer,Technology,Diploma in IT|Bachelor's in Computer Science,2,JavaScript|React|Node.js|HTML/CSS|Database|Git,75-140K,javascript react nodejs html cs database git
Frontend Developer,Technology,Diploma in IT|Bachelor's in Computer Science,1,JavaScript|React|Vue.js|CSS|HTML|UI/UX Design,70-130K,javascript react vuejs cs html ui ux design
Backend Developer,Technology,Bachelor's in Computer Science,2,Python|Java|Node.js|Database Design|API Development|SQL,75-135K,python java nodejs database design api development sql
DevOps Engineer,Technology,Bachelor's in Computer Science|IT Certification,3,Docker|Kubernetes|AWS|Linux|CI/CD|Scripting,85-150K,docker kubernetes aws linux ci cd scripting
Cloud Architect,Technology,Bachelor's in Computer Science|Cloud Certification,5,AWS|Azure|GCP|System Design|Networking|Security,120-200K,aws azure gcp system design networking security
Data Scientist,Technology,Master's in Data Science|Bachelor's in Mathematics,2,Python|Machine Learning|Statistics|TensorFlow|SQL|Data Analysis,90-160K,python machine learning statistic tensorflow sql data analysis
Machine Learning Engineer,Technology,Master's in Computer Science|Master's in AI,3,Python|TensorFlow|PyTorch|Deep Learning|Statistics|Research,100-180K,python tensorflow pytorch deep learning statistic research
Data Engineer,Technology,Bachelor's in Computer Science,2,Python|Spark|Hadoop|SQL|Data Warehousing|ETL,85-155K,python spark hadoop sql data warehousing etl
Database Administrator,Technology,Bachelor's in IT|IT Certification,2,SQL|MongoDB|Database Optimization|Linux|Backup Recovery|Security,70-130K,sql mongodb database optimization linux backup recovery security
Systems Administrator,Technology,Bachelor's in IT|IT Certification,2,Windows Server|Linux|Networking|Security|Active Directory|Troubleshooting,65-125K,window server linux networking security active directory troubleshooting
Network Engineer,Technology,Bachelor's in IT|Networking Certification,2,Cisco|Networking|TCP/IP|Security|Routing|Configuration,70-130K,cisco networking tcp ip security routing configuration
Cybersecurity Specialist,Technology,Bachelor's in Cybersecurity|Security Certification,3,Penetration Testing|Security Protocols|Networking|Risk Analysis|Encryption|Firewalls,85-150K,penetration testing security protocol networking risk analysis encryption firewall
Security Engineer,Technology,Bachelor's in Computer Science|Security Certification,3,Security Architecture|Encryption|Networking|Linux|Risk Management|Compliance,90-160K,security architecture encryption networking linux risk management compliance
Mobile Developer Android,Technology,Bachelor's in Computer Science,2,Java|Kotlin|Android SDK|XML|REST API|Mobile Design,70-130K,java kotlin android sdk xml rest api mobile design
Mobile Developer iOS,Technology,Bachelor's in Computer Science,2,Swift|Objective-C|iOS SDK|Xcode|REST API|Mobile Design,75-135K,swift objectivec io sdk xcode rest api mobile design
Game Developer,Technology,Bachelor's in Game Development|Bachelor's in Computer Science,2,Unity|Unreal Engine|C#|C++|Game Physics|Graphics Programming,65-130K,unity unreal engine c c game physic graphic programming
